Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Victor Lindelöf,DF,23,1994,17,13,1285,14.3,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,11,42,6,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
Jesse Lingard,"MF,FW",24,1992,33,20,1817,20.2,8,5,13,8,0,0,2,0,7.1,7.1,2.8,9.9,78,75,143,0.40,0.25,0.64,0.40,0.64,0.35,0.14,0.49,0.35,0.49
Jake Livermore,MF,27,1989,34,30,2674,29.7,2,2,4,2,0,0,5,0,2.3,2.3,1.9,4.2,26,133,55,0.07,0.07,0.13,0.07,0.13,0.08,0.06,0.14,0.08,0.14
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Fernando Llorente,"FW,MF",32,1985,16,1,238,2.6,1,0,1,1,0,0,1,0,1.0,1.0,0.2,1.2,3,4,32,0.38,0.00,0.38,0.38,0.38,0.38,0.06,0.44,0.38,0.44
Hugo Lloris,GK,30,1986,36,36,3240,36.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jürgen Locadia,"FW,MF",23,1993,6,3,224,2.5,1,1,2,1,0,0,0,0,1.1,1.1,0.1,1.2,2,4,11,0.40,0.40,0.80,0.40,0.80,0.44,0.04,0.48,0.44,0.48
Ruben Loftus-Cheek,MF,21,1996,24,21,1874,20.8,2,3,5,2,0,0,1,0,3.5,3.5,3.2,6.7,94,106,126,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32
Joe Lolley,"FW,MF",24,1992,6,2,221,2.5,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,11,11,17,0.41,0.00,0.41,0.41,0.41,0.05,0.03,0.08,0.05,0.08
Kevin Long,DF,26,1990,16,16,1440,16.0,1,2,3,1,0,0,1,0,1.2,1.2,1.3,2.5,1,28,1,0.06,0.12,0.19,0.06,0.19,0.07,0.08,0.15,0.07,0.15
