Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Michel Aebischer,MF,27,1997,14,9,724,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.4,0.8,8,33,17,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09
Honest Ahanor,"DF,MF",16,2008,6,3,270,3.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,3,7,0.00,0.00,0.00,0.00,0.00,0.17,0.04,0.21,0.17,0.21
Junior Ajayi,FW,19,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jean-Daniel Akpa-Akpro,MF,31,1992,14,12,966,10.7,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.6,21,19,22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05
David Akpan Ankeye,"FW,MF",22,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faride Alidou,"FW,MF",23,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
Dele Alli,MF,28,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pontus Almqvist,"FW,MF",25,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28
Giorgio Altare,DF,25,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04
Sofyan Amrabat,MF,27,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
Angeliño,DF,27,1997,38,36,3177,35.3,2,1,3,2,0,0,1,0,1.4,1.4,3.7,5.1,66,172,172,0.06,0.03,0.08,0.06,0.08,0.04,0.10,0.15,0.04,0.15
Lorenzo Anghelè,FW,19,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Faustino Anjorin,MF,22,2001,22,14,1114,12.4,2,3,5,2,0,0,3,0,0.9,0.9,1.7,2.5,28,55,35,0.16,0.24,0.40,0.16,0.40,0.07,0.13,0.21,0.07,0.21
Marko Arnautović,FW,35,1989,17,5,527,5.9,4,2,6,4,0,0,1,0,3.3,3.3,1.2,4.4,4,16,61,0.68,0.34,1.02,0.68,1.02,0.53,0.19,0.73,0.53,0.73
Kristjan Asllani,MF,22,2002,21,10,980,10.9,2,2,4,0,2,2,4,0,2.5,0.9,1.9,2.8,7,55,20,0.18,0.18,0.37,0.00,0.18,0.22,0.17,0.39,0.08,0.25
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Arthur Atta,"MF,FW",21,2003,27,12,1251,13.9,0,1,1,0,0,0,5,0,1.3,1.3,1.4,2.8,31,57,77,0.00,0.07,0.07,0.00,0.07,0.10,0.10,0.20,0.10,0.20
Emil Audero,GK,27,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tommaso Augello,DF,29,1994,38,30,2713,30.1,0,7,7,0,0,0,3,0,0.3,0.3,4.6,4.9,58,118,113,0.00,0.23,0.23,0.00,0.23,0.01,0.15,0.16,0.01,0.16
Carlos Augusto,DF,25,1999,28,15,1625,18.1,3,2,5,3,0,0,1,0,2.8,2.8,1.6,4.4,31,80,83,0.17,0.11,0.28,0.17,0.28,0.15,0.08,0.23,0.15,0.23
Yann Aurel Bisseck,DF,23,2000,26,16,1553,17.3,3,2,5,3,0,0,4,0,2.6,2.6,0.9,3.4,32,93,44,0.17,0.12,0.29,0.17,0.29,0.14,0.05,0.19,0.14,0.19
Paulo Azzi,DF,30,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30
Oussama El Azzouzi,MF,23,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacopo Bacci,MF,19,2005,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Milan Badelj,MF,35,1989,23,21,1472,16.4,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,8,83,14,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13
Mitchel Bakker,MF,24,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
