Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Kian Best,DF,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Florian Bianchini,FW,23,2001,36,8,1103,12.3,3,0,3,3,0,0,2,0,4.4,4.4,1.1,5.5,12,17,55,0.24,0.00,0.24,0.24,0.24,0.36,0.09,0.45,0.36,0.45
Jake Bidwell,DF,31,1993,29,23,2062,22.9,1,1,2,1,0,0,5,0,1.0,0.9,2.0,2.8,35,120,132,0.04,0.04,0.09,0.04,0.09,0.05,0.09,0.13,0.04,0.12
Luis Binks,DF,22,2001,22,21,1852,20.6,0,1,1,0,0,0,7,0,0.8,0.8,1.1,1.8,26,102,6,0.00,0.05,0.05,0.00,0.05,0.04,0.05,0.09,0.04,0.09
Max Bird,MF,23,2000,46,43,3481,38.7,1,8,9,1,0,0,1,0,3.0,3.0,8.3,11.3,46,234,98,0.03,0.21,0.23,0.03,0.23,0.08,0.21,0.29,0.08,0.29
Colby Bishop,FW,27,1996,32,31,2629,29.2,11,3,14,8,3,4,3,0,13.8,10.7,1.9,12.6,8,49,117,0.38,0.10,0.48,0.27,0.38,0.47,0.07,0.54,0.37,0.43
Billy Blacker,MF,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Corey Blackett-Taylor,"FW,MF",26,1997,12,4,404,4.5,1,0,1,1,0,0,1,0,1.0,1.0,0.7,1.7,27,6,32,0.22,0.00,0.22,0.22,0.22,0.22,0.16,0.37,0.22,0.37
Harvey Blair,FW,20,2003,12,3,294,3.3,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.5,7,1,13,0.31,0.00,0.31,0.31,0.31,0.13,0.02,0.14,0.13,0.14
Malachi Boateng,MF,22,2002,7,1,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,3,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
Eric Bocat,DF,25,1999,30,23,2041,22.7,0,1,1,0,0,0,1,0,0.8,0.8,1.1,1.9,55,90,83,0.00,0.04,0.04,0.00,0.04,0.03,0.05,0.08,0.03,0.08
Jayden Bogle,DF,24,2000,44,44,3824,42.5,6,4,10,6,0,0,12,0,5.3,5.3,6.9,12.3,123,193,264,0.14,0.09,0.24,0.14,0.24,0.13,0.16,0.29,0.13,0.29
Jonathan Bond,GK,31,1993,9,8,798,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Neto Borges,DF,27,1996,35,34,2891,32.1,1,3,4,1,0,0,4,0,1.4,1.4,2.2,3.6,54,71,187,0.03,0.09,0.12,0.03,0.12,0.04,0.07,0.11,0.04,0.11
Raphael Borges Rodrigues,"MF,FW",20,2003,3,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Josh Bowler,"FW,DF",25,1999,10,6,456,5.1,0,0,0,0,0,0,0,0,0.7,0.7,0.4,1.1,12,22,39,0.00,0.00,0.00,0.00,0.00,0.14,0.08,0.22,0.14,0.22
Josh Bowler,"MF,FW",25,1999,8,0,150,1.7,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,8,9,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13
Sonny Bradley,DF,32,1991,7,3,303,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,5,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
Tom Bradshaw,FW,32,1992,11,4,359,4.0,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,2,4,10,0.00,0.00,0.00,0.00,0.00,0.20,0.02,0.22,0.20,0.22
Tom Bradshaw,FW,32,1992,11,4,450,5.0,1,0,1,0,1,1,0,0,2.4,1.6,0.0,1.6,2,2,17,0.20,0.00,0.20,0.00,0.00,0.48,0.00,0.48,0.32,0.32
Robbie Brady,"DF,FW",32,1992,29,17,1638,18.2,0,4,4,0,0,0,8,0,1.3,1.3,5.7,7.0,32,95,71,0.00,0.22,0.22,0.00,0.22,0.07,0.31,0.39,0.07,0.39
Cohen Bramall,"DF,FW",28,1996,12,4,460,5.1,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.6,15,16,15,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.12,0.03,0.12
Cameron Brannagan,MF,28,1996,33,33,2900,32.2,3,4,7,3,0,0,10,0,1.7,1.7,2.3,4.0,20,100,29,0.09,0.12,0.22,0.09,0.22,0.05,0.07,0.13,0.05,0.13
Ben Brereton,"FW,MF",25,1999,17,13,984,10.9,4,3,7,4,0,0,4,0,4.2,4.2,1.4,5.6,25,36,60,0.37,0.27,0.64,0.37,0.64,0.38,0.13,0.51,0.38,0.51
Rhian Brewster,"MF,FW",24,2000,36,16,1558,17.3,4,3,7,4,0,0,2,0,4.3,4.3,3.0,7.3,19,59,72,0.23,0.17,0.40,0.23,0.40,0.25,0.17,0.42,0.25,0.42
Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Callum Brittain,DF,26,1998,33,30,2659,29.5,2,5,7,2,0,0,5,0,1.1,1.1,4.5,5.6,63,90,141,0.07,0.17,0.24,0.07,0.24,0.04,0.15,0.19,0.04,0.19
Andre Brooks,"FW,MF",20,2003,22,10,951,10.6,3,2,5,3,0,0,3,0,2.7,2.7,2.5,5.3,28,18,106,0.28,0.19,0.47,0.28,0.47,0.26,0.24,0.50,0.26,0.50
Ciaron Brown,DF,26,1998,41,41,3611,40.1,4,3,7,4,0,0,6,0,1.9,1.9,1.6,3.5,30,90,20,0.10,0.07,0.17,0.10,0.17,0.05,0.04,0.09,0.05,0.09
Dajaune Brown,FW,18,2005,15,3,387,4.3,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.7,0,1,11,0.23,0.00,0.23,0.23,0.23,0.12,0.03,0.15,0.12,0.15
Jacob Brown,"FW,MF",26,1998,29,11,1217,13.5,4,1,5,4,0,0,4,0,3.8,3.8,1.2,5.0,19,17,61,0.30,0.07,0.37,0.30,0.37,0.28,0.09,0.37,0.28,0.37
Alan Browne,"MF,DF",29,1995,22,13,1212,13.5,1,0,1,1,0,0,1,0,1.4,1.4,0.4,1.8,16,29,52,0.07,0.00,0.07,0.07,0.07,0.11,0.03,0.13,0.11,0.13
Josh Brownhill,"MF,FW",28,1995,42,39,3474,38.6,18,6,24,15,3,3,5,0,9.9,7.5,4.4,12.0,33,165,145,0.47,0.16,0.62,0.39,0.54,0.26,0.12,0.37,0.19,0.31
Joe Bryan,DF,30,1993,39,37,3275,36.4,1,1,2,1,0,0,8,0,1.3,1.3,3.8,5.2,33,165,73,0.03,0.03,0.05,0.03,0.05,0.04,0.11,0.14,0.04,0.14
Solomon Brynn,GK,23,2000,6,6,509,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
John Buckley,MF,24,1999,23,8,855,9.5,0,0,0,0,0,0,5,0,0.2,0.2,0.3,0.5,8,49,5,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05
Mustapha Bundu,"FW,MF",27,1997,37,27,2302,25.6,10,6,16,10,0,0,4,0,5.5,5.5,5.8,11.3,40,50,128,0.39,0.23,0.63,0.39,0.63,0.22,0.23,0.44,0.22,0.44
Wouter Burger,MF,23,2001,39,37,3002,33.4,1,1,2,1,0,0,10,0,1.9,1.9,2.5,4.5,21,147,38,0.03,0.03,0.06,0.03,0.06,0.06,0.08,0.13,0.06,0.13
Delano Burgzorg,"FW,MF",25,1998,42,23,2187,24.3,5,2,7,4,1,1,2,0,7.8,7.0,2.0,9.0,70,59,192,0.21,0.08,0.29,0.16,0.25,0.32,0.08,0.40,0.29,0.37
Reece Burke,DF,27,1996,17,10,852,9.5,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.7,9,32,13,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
Finley Burns,"DF,MF",21,2003,9,4,311,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Harrison Burrows,DF,22,2002,43,39,3460,38.4,5,3,8,3,2,2,2,0,3.9,2.3,5.8,8.0,65,105,197,0.13,0.08,0.21,0.08,0.16,0.10,0.15,0.25,0.06,0.21
Mason Burstow,"FW,MF",20,2003,31,8,953,10.6,2,1,3,2,0,0,1,0,2.0,2.0,1.2,3.3,16,28,70,0.19,0.09,0.28,0.19,0.28,0.19,0.12,0.31,0.19,0.31
Sam Byram,DF,30,1993,36,16,1409,15.7,1,1,2,1,0,0,4,0,0.8,0.8,1.0,1.9,25,75,100,0.06,0.06,0.13,0.06,0.13,0.05,0.07,0.12,0.05,0.12
