Player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Larra,"MF,DF",26,1997,32,26,2242,24.9,2,3,5,2,0,0,9,1,1.9,1.9,2.8,4.7,51,56,116,0.08,0.12,0.20,0.08,0.20,0.08,0.11,0.19,0.08,0.19
Leonardo Lelo,"MF,DF",24,2000,32,32,2848,31.6,1,4,5,1,0,0,2,0,1.4,1.4,4.5,5.9,32,107,141,0.03,0.13,0.16,0.03,0.16,0.04,0.14,0.19,0.04,0.19
Marcos Leonardo,MF,21,2003,3,0,82,0.9,1,0,1,0,1,1,0,0,1.3,0.5,0.0,0.5,4,2,6,1.10,0.00,1.10,0.00,0.00,1.38,0.03,1.41,0.52,0.55
Guilherme Liberato,MF,23,2001,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Otso Liimatta,"FW,MF",20,2004,5,1,121,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,2,4,12,0.00,0.00,0.00,0.00,0.00,0.21,0.07,0.28,0.21,0.28
Rúben Lima,DF,34,1989,24,20,1778,19.8,0,2,2,0,0,0,3,1,0.1,0.1,1.9,2.0,6,65,3,0.00,0.10,0.10,0.00,0.10,0.00,0.10,0.10,0.00,0.10
Yan Lincon,FW,21,2002,8,3,262,2.9,3,0,3,3,0,0,2,0,0.6,0.6,0.0,0.6,3,4,8,1.03,0.00,1.03,1.03,1.03,0.21,0.01,0.22,0.21,0.22
Jérémy Livolant,"FW,MF",26,1998,26,20,1802,20.0,4,4,8,4,0,0,1,1,4.3,4.3,2.7,7.0,52,44,120,0.20,0.20,0.40,0.20,0.40,0.21,0.13,0.35,0.21,0.35
Danny Loader,"FW,MF",23,2000,29,11,1071,11.9,3,1,4,2,1,1,3,0,4.2,3.4,0.8,4.1,18,31,71,0.25,0.08,0.34,0.17,0.25,0.35,0.06,0.41,0.28,0.35
Samuel Lobato,"FW,MF",22,2001,12,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tom van de Looi,MF,25,1999,27,18,1753,19.5,0,2,2,0,0,0,4,0,0.7,0.7,0.8,1.5,10,128,14,0.00,0.10,0.10,0.00,0.10,0.04,0.04,0.08,0.04,0.08
Miguel Lopes,DF,37,1986,15,13,1144,12.7,0,0,0,0,0,0,3,0,0.3,0.3,0.1,0.4,3,30,1,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03
